Point #          X         Y     eps11     eps22     eps12
1            -0.80      0.80   -0.0981    0.4065    0.0226
2            -0.40      0.80   -0.0652    0.3942    0.0914
3             0.00      0.80   -0.0201    0.3619   -0.0003
4             0.40      0.80   -0.0649    0.3939   -0.0918
5             0.80      0.80   -0.0982    0.4065   -0.0223
6            -0.80     -0.80   -0.0982    0.4066   -0.0224
7            -0.40     -0.80   -0.0650    0.3940   -0.0918
8             0.00     -0.80   -0.0202    0.3620   -0.0002
9             0.40     -0.80   -0.0650    0.3941    0.0917
10            0.80     -0.80   -0.0981    0.4065    0.0224
